Arbeitslosenquote, Früheres Bundesgebiet ohne Berlin-West (Quelle: Statistik der Bundesagentur für Arbeit)
Datum;Arbeitslosenquote aller zivilen Erwerbspersonen, insgesamt in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Männer in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Frauen in %;Arbeitslosenquote aller zivilen Erwerbspersonen, Jugendliche unter 20 Jahren in %;Arbeitslosenquote aller abhängig zivilen Erwerbspersonen in %
01/02/2014;6,4;6,6;6,1;3,1;7,1
01/03/2014;6,2;6,4;6,0;3,0;7,0
01/04/2014;6,0;6,1;5,9;2,8;6,8
01/05/2014;5,9;5,9;5,8;2,8;6,6
01/06/2014;5,8;5,8;5,8;2,8;6,5
01/07/2014;5,9;5,9;5,9;3,3;6,6
01/08/2014;6,0;5,9;6,1;4,4;6,7
01/09/2014;5,8;5,8;5,9;3,8;6,5
01/10/2014;5,6;5,6;5,7;3,1;6,3
01/11/2014;5,6;5,6;5,6;2,9;6,3
01/12/2014;5,7;5,7;5,6;2,9;6,3
01/01/2015;6,2;6,4;5,9;3,0;6,9
01/02/2015;6,2;6,4;5,9;3,1;6,9
01/03/2015;6,0;6,2;5,7;3,1;6,7
01/04/2015;5,8;6,0;5,7;2,9;6,5
01/05/2015;5,6;5,7;5,5;2,7;6,3
01/06/2015;5,6;5,6;5,5;2,7;6,2
01/07/2015;5,7;5,8;5,6;3,3;6,3
01/08/2015;5,8;5,8;5,8;4,1;6,4
01/09/2015;5,6;5,6;5,6;3,5;6,2
01/10/2015;5,5;5,5;5,4;3,1;6,1
01/11/2015;5,4;5,5;5,3;3,0;6,0
01/12/2015;5,5;5,6;5,3;3,0;6,1
01/01/2016;6,0;6,3;5,6;3,1;6,6
01/02/2016;6,0;6,3;5,6;3,2;6,6
01/03/2016;5,8;6,1;5,5;3,2;6,5
01/04/2016;5,7;5,9;5,4;3,1;6,3
01/05/2016;5,5;5,7;5,2;3,0;6,1
01/06/2016;5,4;5,6;5,2;3,0;6,0
01/07/2016;5,5;5,7;5,3;3,6;6,1
01/08/2016;5,6;5,7;5,4;4,4;6,2
01/09/2016;5,4;5,6;5,3;3,9;6,0
01/10/2016;5,3;5,4;5,1;3,4;5,9
01/11/2016;5,3;5,4;5,1;3,2;5,8
01/12/2016;5,3;5,5;5,1;3,1;5,9
01/01/2017;5,7;6,1;5,3;3,2;6,3
01/02/2017;5,7;6,1;5,3;3,2;6,3
01/03/2017;5,5;5,8;5,2;3,1;6,1
01/04/2017;5,4;5,6;5,1;2,9;5,9
01/05/2017;5,2;5,4;5,0;2,8;5,7
01/06/2017;5,1;5,3;5,0;2,7;5,7
01/07/2017;5,2;5,4;5,1;3,3;5,8
01/08/2017;5,3;5,4;5,2;4,1;5,9
01/09/2017;5,1;5,2;5,0;3,5;5,6
01/10/2017;5,0;5,1;4,9;3,1;5,5
01/11/2017;4,9;5,0;4,8;2,9;5,4
01/12/2017;4,9;5,1;4,7;2,8;5,5
01/01/2018;5,3;5,6;5,0;2,8;5,9
01/02/2018;5,3;5,6;4,9;2,8;5,8
01/03/2018;5,1;5,3;4,8;2,7;5,6
01/04/2018;4,9;5,1;4,7;2,6;5,5
01/05/2018;4,7;4,9;4,6;2,5;5,2
01/06/2018;4,7;4,8;4,5;2,5;5,2
01/07/2018;4,8;4,9;4,7;3,1;5,3
01/08/2018;4,8;4,9;4,8;3,8;5,4
01/09/2018;4,7;4,7;4,6;3,3;5,1
01/10/2018;4,5;4,6;4,4;2,9;5,0
01/11/2018;4,5;4,6;4,4;2,7;5,0
01/12/2018;4,5;4,7;4,3;2,6;5,0
01/01/2019;4,9;5,2;4,6;2,7;5,4
01/02/2019;4,9;5,2;4,5;2,7;5,4
01/03/2019;4,7;5,0;4,4;2,6;5,2
01/04/2019;4,6;4,8;4,4;2,5;5,1
01/05/2019;4,6;4,8;4,4;2,4;5,0
01/06/2019;4,6;4,7;4,4;2,4;5,0
01/07/2019;4,7;4,8;4,5;3,0;5,2
01/08/2019;4,8;4,9;4,7;3,7;5,3
01/09/2019;4,6;4,8;4,5;3,2;5,1
01/10/2019;4,6;4,7;4,4;2,9;5,0
01/11/2019;4,5;4,7;4,3;2,7;5,0
01/12/2019;4,6;4,8;4,3;2,7;5,1
01/01/2020;5,0;5,4;4,6;2,7;5,5
01/02/2020;4,9;5,3;4,5;2,7;5,4
01/03/2020;4,8;5,2;4,4;2,7;5,3
01/04/2020;5,5;5,8;5,1;3,0;6,0
01/05/2020;5,8;6,1;5,4;3,3;6,4
01/06/2020;5,9;6,2;5,5;3,2;6,5
01/07/2020;6,0;6,3;5,7;3,4;6,6
01/08/2020;6,1;6,4;5,8;4,3;6,7
01/09/2020;5,9;6,2;5,6;3,8;6,5
01/10/2020;5,7;6,0;5,4;3,4;6,3
01/11/2020;5,6;5,8;5,3;3,1;6,1
01/12/2020;5,6;5,9;5,2;3,0;6,1
01/01/2021;6,0;6,3;5,5;3,0;6,6
01/02/2021;6,0;6,4;5,5;3,1;6,6
01/03/2021;5,8;6,1;5,4;3,0;6,4
01/04/2021;5,7;6,0;5,4;2,8;6,2
01/05/2021;5,5;5,7;5,3;2,8;6,0
01/06/2021;5,4;5,6;5,2;2,7;5,9
01/07/2021;5,3;5,5;5,2;3,0;5,8
01/08/2021;5,3;5,4;5,2;3,9;5,8
01/09/2021;5,1;5,2;5,0;3,3;5,6
01/10/2021;4,9;5,0;4,8;3,0;5,4
01/11/2021;4,8;4,9;4,6;2,8;5,2
01/12/2021;4,8;4,9;4,6;2,7;5,2
01/01/2022;5,0;5,3;4,8;2,7;5,5
01/02/2022;5,0;5,2;4,7;2,6;5,4
01/03/2022;4,8;5,0;4,6;2,6;5,3
01/04/2022;4,7;4,9;4,5;2,5;5,2
01/05/2022;4,6;4,8;4,4;2,4;5,0
01/06/2022;4,9;4,9;4,8;3,0;5,3
01/07/2022;5,1;5,0;5,1;3,6;5,5
01/08/2022;5,3;5,1;5,4;4,7;5,7
01/09/2022;5,1;5,0;5,2;4,3;5,6
01/10/2022;5,0;5,0;5,1;3,9;5,5
01/11/2022;5,0;5,0;5,0;3,6;5,5
01/12/2022;5,0;5,1;5,0;3,5;5,5
01/01/2023;5,4;5,5;5,3;3,5;5,8
01/02/2023;5,4;5,5;5,2;3,5;5,9
01/03/2023;5,3;5,4;5,2;3,5;5,8
01/04/2023;5,3;5,4;5,2;3,4;5,8
01/05/2023;5,2;5,3;5,1;3,0;5,6
01/06/2023;5,2;5,3;5,1;3,0;5,7
01/07/2023;5,3;5,4;5,3;3,4;5,8
01/08/2023;5,5;5,5;5,5;4,5;6,0
01/09/2023;5,4;5,4;5,3;4,0;5,8
01/10/2023;5,3;5,4;5,3;3,9;5,8
01/11/2023;5,3;5,4;5,2;3,7;5,8
01/12/2023;5,4;5,5;5,2;3,6;5,8
01/01/2024;5,7;5,9;5,5;3,6;6,2
01/02/2024;5,7;6,0;5,5;3,7;6,2
01/03/2024;5,6;5,9;5,4;3,6;6,1
01/04/2024;5,6;5,8;5,4;3,5;6,1
01/05/2024;5,5;5,7;5,3;3,3;6,0
01/06/2024;5,5;5,7;5,3;3,3;6,0
01/07/2024;5,7;5,8;5,5;3,7;6,2
01/08/2024;5,8;5,9;5,7;4,9;6,3
01/09/2024;5,7;5,8;5,5;4,5;6,2
01/10/2024;5,6;5,8;5,5;4,3;6,1
01/11/2024;5,6;5,8;5,4;4,0;6,1
01/12/2024;5,7;5,9;5,4;4,0;6,2
01/01/2025;6,1;6,3;5,7;4,0;6,6
01/02/2025;6,0;6,4;5,7;4,0;6,6
01/03/2025;6,0;6,3;5,7;3,9;6,5
